Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 9.926926	Val Loss: 13.363785	Val Acc: 0.0
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: nan	Val Loss: nan	Val Acc: 7.96875
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.4375
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.28125
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.375
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: nan	Val Loss: nan	Val Acc: 7.8125
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.53125
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.90625
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.125
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: nan	Val Loss: nan	Val Acc: 7.96875
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.0625
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.90625
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.59375
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.375
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.0625
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: nan	Val Loss: nan	Val Acc: 10.0
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: nan	Val Loss: nan	Val Acc: 10.0
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.4375
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.6875
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.59375
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: nan	Val Loss: nan	Val Acc: 7.34375
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.375
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.53125
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.59375
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.28125
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: nan	Val Loss: nan	Val Acc: 7.65625
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.4375
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.28125
Train Epoch: 2 [0/49000 (0%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.90625
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.4375
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.375
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.90625
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.90625
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.125
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.4375
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.28125
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: nan	Val Loss: nan	Val Acc: 10.0
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.0625
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.125
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.90625
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.125
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
